Escherichia coli str. K-12 substr. MG1655, complete genome. - 1..4641652
4140 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
1176619..1177320	+	233	87081834	lolD	b1117	-	-	outer membrane-specific lipoprotein transporter subunit
1177320..1178564	+	414	1787362	lolE	b1118	-	-	lipoprotein-releasing system transmembrane protein
1178593..1179504	+	303	1787363	nagK	b1119	-	-	N-acetyl-D-glucosamine kinase
1179631..1180359	+	242	308199517	cobB	b1120	-	-	deacetylase of acs and cheY, chemotaxis regulator
1180479..1181267	-	262	1787365	ycfZ	b1121	-	-	inner membrane protein
1181264..1181725	-	153	87081835	ymfA	b1122	-	-	DUF3592 family inner membrane protein
1181783..1182829	-	348	1787367	potD	b1123	-	-	polyamine transporter subunit
1182826..1183620	-	264	1787368	potC	b1124	-	-	polyamine transporter subunit
1183617..1184444	-	275	1787369	potB	b1125	-	-	polyamine transporter subunit
1184458..1185594	-	378	1787370	potA	b1126	-	-	polyamine transporter subunit
1185844..1187070	+	408	1787372	pepT	b1127	-	-	peptidase T
1187119..1188240	-	373	87081836	roxA	b1128	-	-	50S ribosomal protein L16 arginine hydroxylase; 2-oxoglutarate oxygenase
1188316..1189776	-	486	1787374	phoQ	b1129	-	-	sensory histidine kinase in two-component regulatory system with PhoP
1189776..1190447	-	223	1787375	phoP	b1130	-	-	response regulator in two-component regulatory system with PhoQ
1190616..1191986	-	456	1787376	purB	b1131	-	-	adenylosuccinate lyase
1191990..1192631	-	213	1787377	hflD	b1132	-	-	putative lysogenization regulator
1192667..1193773	-	368	87081837	mnmA	b1133	-	-	tRNA(Gln,Lys,Glu) U34 2-thiouridylase, first step in mnm(5)-s(2)U34-tRNA synthesis
1193827..1194288	-	153	1787379	nudJ	b1134	-	-	bifunctional thiamine pyrimidine pyrophosphate hydrolase/ thiamine pyrophosphate hydrolase
1194298..1194951	-	217	87081838	rluE	b1135	-	-	23S rRNA pseudouridine(2457) synthase
1195123..1196373	+	416	1787381	icd	b1136	-	-	e14 prophage; isocitrate dehydrogenase, specific for NADP+
1196867..1197532	-	221	1787383	ymfD	b1137	-	-	e14 prophage; putative SAM-dependent methyltransferase
1197533..1198237	-	234	1787384	ymfE	b1138	-	-	e14 prophage; putative inner membrane protein
1198695..1199588	+	297	1787385	lit	b1139	-	-	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression
1199679..1200806	-	375	1787386	intE	b1140	-	-	e14 prophage; putative integrase
1200787..1201032	-	81	1787387	xisE	b1141	-	-	e14 prophage; putative excisionase
1201497..1201838	+	113	87081839	ymfI	b1143	-	-	e14 prophage; uncharacterized protein
1201776..1202084	-	102	87081840	ymfJ	b1144	-	-	e14 prophage; uncharacterized protein
1202259..1202933	-	224	1787391	cohE	b1145	-	-	e14 prophage; repressor protein phage e14
1203024..1203224	+	66	87081841	croE	b1146	-	-	e14 prophage; putative DNA-binding transcriptional regulator
1203268..1203825	+	185	145693113	ymfL	b1147	-	-	e14 prophage; putative DNA-binding transcriptional regulator
1203822..1204160	+	112	1787394	ymfM	b1148	-	-	e14 prophage; uncharacterized protein
1205549..1205731	+	60	1787396	ymfR	b1150	-	-	e14 prophage; uncharacterized protein
1206913..1207497	+	194	1787399	ymfQ	b1153	-	-	prohage e14 tail protein homolog
1207501..1208130	+	209	1787400	stfP	b1154	-	-	e14 prophage; uncharacterized protein
1208132..1208545	+	137	1787401	tfaP	b1155	-	-	e14 prophage; uncharacterized protein
1208517..1209119	-	200	1787402	tfaE	b1156	-	-	e14 prophage; putative tail fiber assembly protein
1209685..1210239	+	184	1787404	pinE	b1158	-	-	e14 prophage; site-specific DNA recombinase
1210346..1211179	+	277	1787406	mcrA	b1159	-	-	putative 5-methylcytosine/5-hydroxymethylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein; e14 prophage gene
1211680..1212003	-	107	1787407	iraM	b1160	-	-	RpoS stabilzer during Mg starvation, anti-RssB factor
1212703..1213107	-	134	1787408	ycgX	b1161	-	-	DUF1398 family protein
1213328..1214059	-	243	1787409	bluR	b1162	-	-	repressor of blue light-responsive genes
1214264..1215475	-	403	1787410	bluF	b1163	-	-	anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP
1215789..1216025	+	78	1787411	ycgZ	b1164	-	-	RcsB connector protein for regulation of biofilm and acid-resistance
1216068..1216340	+	90	1787412	ymgA	b1165	-	-	RcsB connector protein for regulation of biofilm
1216369..1216635	+	88	1787413	ariR	b1166	-	-	RcsB connector protein for regulation of biofilm and acid-resistance
1216748..1216996	+	82	1787414	ymgC	b1167	-	-	Blue light, low temperature and stress induced protein
1217328..1218851	+	507	87081845	ycgG	b1168	-	-	putative membrane-anchored cyclic-di-GMP phosphodiesterase
1218983..1219201	+	72	87081846	ymgF	b4520	-	-	inner membrane division septum protein
1222305..1222634	-	109	87081849	ymgD	b1171	-	-	uncharacterized protein
1222644..1222988	-	114	288549313	ymgG	b1172	-	-	UPF0757 family protein
1222990..1223163	-	57	145693115	ymgI	b4593	-	-	uncharacterized protein
1223264..1223449	+	61	145693116	ymgJ	b4594	-	-	uncharacterized protein
1224279..1224545	-	88	1787422	minE	b1174	-	-	cell division topological specificity factor
1224549..1225361	-	270	1787423	minD	b1175	-	-	membrane ATPase of the MinC-MinD-MinE system
1225385..1226080	-	231	1787424	minC	b1176	-	-	cell division inhibitor
1226600..1226968	+	122	1787425	ycgJ	b1177	-	-	uncharacterized protein
1227071..1227472	-	133	1787426	pliG	b1178	-	-	periplasmic inhibitor of g-type lysozyme
1227714..1228007	+	97	308199518	ycgL	b1179	-	-	UPF0745 family protein
1228079..1228738	+	219	1787428	ycgM	b1180	-	-	putative isomerase/hydrolase
1228815..1229276	+	153	145693117	ycgN	b1181	-	-	UPF0153 family cysteine cluster protein
1229483..1230394	-	303	87081853	hlyE	b1182	-	-	hemolysin E
1230767..1231186	+	139	1787431	umuD	b1183	-	-	DNA polymerase V, subunit D
1231186..1232454	+	422	1787432	umuC	b1184	-	-	DNA polymerase V, subunit C
1232500..1233030	-	176	1787433	dsbB	b1185	-	-	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I
1233176..1234717	-	513	1787435	nhaB	b1186	-	-	sodium:proton antiporter
1234938..1235657	+	239	1787436	fadR	b1187	-	-	fatty acid metabolism regulon transcriptional regulator
1235709..1237241	-	510	1787437	ycgB	b1188	-	-	SpoVR family stationary phase protein
1237571..1238869	+	432	1787438	dadA	b1189	-	-	D-amino acid dehydrogenase
1238879..1239949	+	356	1787439	dadX	b1190	-	-	alanine racemase, catabolic, PLP-binding
1240335..1242071	-	578	87081854	cvrA	b1191	-	-	putative cation/proton antiporter
1242166..1243080	-	304	1787441	ldcA	b1192	-	-	murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A
1243180..1243791	+	203	87081855	emtA	b1193	-	-	lytic murein endotransglycosylase E
1243793..1244527	-	244	1787443	ycgR	b1194	-	-	flagellar velocity braking protein, c-di-GMP-regulated
1244728..1244982	+	84	1787445	ymgE	b1195	-	-	UPF0410 family putative inner membrane protein
1245160..1245600	+	146	1787446	ycgY	b1196	-	-	uncharacterized protein
1245679..1247376	-	565	1787447	treA	b1197	-	-	periplasmic trehalase
1247696..1249114	-	472	226510935	dhaM	b1198	-	-	putative dihydroxyacetone-specific PTS enzymes: HPr component/EI component
1249125..1249757	-	210	1787449	dhaL	b1199	-	-	dihydroxyacetone kinase, C-terminal domain
1249768..1250838	-	356	87081857	dhaK	b1200	-	-	dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit
1251066..1252985	+	639	87081858	dhaR	b1201	-	-	dhaKLM operon transcription activator
1253085..1255952	-	955	1787452	ycgV	b1202	-	-	putative adhesin
1256721..1257812	-	363	1787454	ychF	b1203	-	-	catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated
1257929..1258513	-	194	1787455	pth	b1204	-	-	peptidyl-tRNA hydrolase
1258791..1259069	+	92	1787456	ychH	b1205	-	-	DUF2583 family putative inner membrane protein
1259124..1260803	-	559	87081859	dauA	b1206	-	-	C4-dicarboxylic acid transporter
1260928..1261875	-	315	1787458	prs	b1207	-	-	phosphoribosylpyrophosphate synthase
1262026..1262877	-	283	1787459	ispE	b1208	-	-	4-diphosphocytidyl-2-C-methylerythritol kinase
1262877..1263500	-	207	1787460	lolB	b1209	-	-	lipoprotein localization factor
1263714..1264970	+	418	1787461	hemA	b1210	-	-	glutamyl tRNA reductase
1265012..1266094	+	360	1787462	prfA	b1211	-	-	peptide chain release factor RF-1
1266094..1266927	+	277	1787463	prmC	b1212	-	-	N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2
1266924..1267316	+	130	1787464	ychQ	b1213	-	-	SIRB family inner membrane protein
1267320..1268129	+	269	1787465	ychA	b1214	-	-	transglutaminase-like TPR-repeat protein
1268165..1269019	+	284	1787466	kdsA	b1215	-	-	3-deoxy-D-manno-octulosonate 8-phosphate synthase
1269168..1269275	-	35	48994880	ldrA	b4419	-	-	toxic polypeptide, small
1269703..1269810	-	35	48994881	ldrB	b4421	-	-	toxic polypeptide, small
1270238..1270345	-	35	48994882	ldrC	b4423	-	-	toxic polypeptide, small
1270749..1271849	-	366	1787468	chaA	b1216	-	-	calcium/sodium:proton antiporter
1272119..1272349	+	76	1787469	chaB	b1217	-	-	cation transport regulator
1272507..1273202	+	231	145693119	chaC	b1218	-	-	cation transport regulator
1273246..1273599	-	117	1787471	ychN	b1219	-	-	putative sulfur relay protein
1273784..1275178	+	464	145693120	ychO	b1220	-	-	putative invasin
1275179..1275829	-	216	1787473	narL	b1221	-	-	response regulator in two-component regulatory system with NarX (or NarQ)
1275822..1277618	-	598	1787474	narX	b1222	-	-	sensory histidine kinase in two-component regulatory system with NarL
1277957..1279348	+	463	1787475	narK	b1223	-	-	nitrate/nitrite transporter
1279864..1283607	+	1247	1787477	narG	b1224	-	-	nitrate reductase 1, alpha subunit
1283604..1285142	+	512	1787478	narH	b1225	-	-	nitrate reductase 1, beta (Fe-S) subunit
1285139..1285849	+	236	1787479	narJ	b1226	-	-	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1
1285849..1286526	+	225	1787480	narI	b1227	-	-	nitrate reductase 1, gamma (cytochrome b(NR)) subunit
1287087..1287176	-	29	145693121	tpr	b1229	-	-	protamine-like protein
1287782..1288624	-	280	1787483	purU	b1232	-	-	formyltetrahydrofolate hydrolase
1288674..1289132	-	152	1787484	ychJ	b1233	-	-	UPF0225 family protein
1289245..1290150	+	301	226510936	rssA	b1234	-	-	putative patatin-like family phospholipase
1290242..1291255	+	337	1787487	rssB	b1235	-	-	PcnB-degradosome interaction factor; response regulator
1291457..1292365	+	302	1787488	galU	b1236	-	-	glucose-1-phosphate uridylyltransferase
1292509..1292922	-	137	1787489	hns	b1237	-	-	global DNA-binding transcriptional dual regulator H-NS
1293527..1294144	+	205	1787490	tdk	b1238	-	-	thymidine kinase/deoxyuridine kinase
1295446..1298121	-	891	1787493	adhE	b1241	-	-	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase
1298598..1299245	+	215	1787494	ychE	b1242	-	-	UPF0056 family inner membrane protein
1301182..1302813	+	543	1787495	oppA	b1243	-	-	oligopeptide transporter subunit
1302899..1303819	+	306	1787497	oppB	b1244	-	-	oligopeptide transporter subunit
1303834..1304742	+	302	1787498	oppC	b1245	-	-	oligopeptide transporter subunit
1304754..1305767	+	337	48994883	oppD	b1246	-	-	oligopeptide transporter subunit
1305764..1306768	+	334	1787500	oppF	b1247	-	-	oligopeptide transporter subunit
1306821..1307150	-	109	87081860	yciU	b1248	-	-	UPF0263 family protein
1307185..1308645	-	486	1787502	clsA	b1249	-	-	cardiolipin synthase 1
1308788..1308961	+	57	145693122	yciY	b4595	-	-	uncharacterized protein
1309016..1310269	-	417	1787503	kch	b1250	-	-	voltage-gated potassium channel
1310569..1310865	-	98	87081861	yciI	b1251	-	-	putative DGPF domain-containing enzyme
1311089..1311808	+	239	1787505	tonB	b1252	-	-	membrane spanning protein in TonB-ExbB-ExbD transport complex
1311848..1312246	-	132	1787506	yciA	b1253	-	-	acyl-CoA esterase
1312351..1312890	-	179	1787507	yciB	b1254	-	-	IspA family inner membrane protein
1312920..1313663	-	247	1787508	yciC	b1255	-	-	UPF0259 family inner membrane protein
1314020..1314658	+	212	1787510	ompW	b1256	-	-	outer membrane protein W
1314718..1315224	-	168	1787511	yciE	b1257	-	-	putative rubrerythrin/ferritin-like metal-binding protein
1315270..1315770	-	166	1787512	yciF	b1258	-	-	putative rubrerythrin/ferritin-like metal-binding protein
1315856..1316035	-	59	87081862	yciG	b1259	-	-	KGG family protein
1316416..1317222	-	268	1787514	trpA	b1260	-	-	tryptophan synthase, alpha subunit
1317222..1318415	-	397	1787515	trpB	b1261	-	-	tryptophan synthase, beta subunit
1318427..1319788	-	453	558094917	trpC	b1262	-	-	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase
1319789..1321384	-	531	1787517	trpD	b1263	-	-	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase
1321384..1322946	-	520	1787518	trpE	b1264	-	-	component I of anthranilate synthase
1323038..1323082	-	14	1787519	trpL	b1265	-	-	trp operon leader peptide
1323220..1324101	+	293	1787520	yciV	b1266	-	-	PHP domain protein
1324098..1324718	+	206	87081864	yciO	b1267	-	-	putative RNA binding protein
1324746..1326641	+	631	1787522	yciQ	b1268	-	-	enhancer of membrane protein expression; putative inner membrane protein
1326852..1327727	+	291	1787524	rluB	b1269	-	-	23S rRNA pseudouridine(2605) synthase
1327767..1328357	-	196	1787525	btuR	b1270	-	-	cob(I)yrinic acid a,c-diamide adenosyltransferase
1328354..1329112	-	252	1787526	yciK	b1271	-	-	putative EmrKY-TolC system oxoacyl-(acyl carrier protein) reductase
1329332..1330381	+	349	1787527	sohB	b1272	-	-	inner membrane protein, S49 peptidase family protein
1330417..1330668	-	83	1787528	yciN	b1273	-	-	DUF2498 protein YciN
1331048..1333645	+	865	1787529	topA	b1274	-	-	DNA topoisomerase I, omega subunit
1333855..1334829	+	324	1787530	cysB	b1275	-	-	N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor
1335124..1335288	+	54	558094918	ymiA	b4522	-	-	uncharacterized protein
1335291..1335458	+	55	145693123	yciX	b4523	-	-	uncharacterized protein
1335831..1338506	+	891	1787531	acnA	b1276	-	-	aconitate hydratase 1
1338570..1339160	-	196	1787533	ribA	b1277	-	-	GTP cyclohydrolase II
1339330..1340094	+	254	1787534	pgpB	b1278	-	-	phosphatidylglycerophosphatase B
1340243..1340551	+	102	1787535	yciS	b1279	-	-	DUF1049 family inner membrane protein, function unknown
1340558..1341727	+	389	2367116	yciM	b1280	-	-	envelope integrity maintenance protein; EnvC-interacting protein
1341921..1342658	+	245	1787537	pyrF	b1281	-	-	orotidine-5'-phosphate decarboxylase
1342658..1342984	+	108	87081867	yciH	b1282	-	-	initiation factor function partial mimic, SUI1 family
1343110..1343328	-	72	1787539	osmB	b1283	-	-	lipoprotein
1343597..1344346	-	249	1787540	yciT	b1284	-	-	global regulator of transcription; DeoR family
1344436..1344609	-	57	145693124	yciZ	b4596	-	-	uncharacterized protein
1344757..1346742	-	661	1787541	gmr	b1285	-	-	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability
1346796..1346900	+	34	226510937	ymiB	b4672	-	-	uncharacterized protein
1346978..1348912	-	644	1787542	rnb	b1286	-	-	ribonuclease II
1348980..1350107	-	375	87081868	yciW	b1287	-	-	putative oxidoreductase
1350251..1351039	-	262	1787545	fabI	b1288	-	-	enoyl-[acyl-carrier-protein] reductase, NADH-dependent
1351407..1351760	-	117	1787546	ycjD	b1289	-	-	DUF559 family endonuclease-related protein
1351828..1352634	-	268	1787547	sapF	b1290	-	-	antimicrobial peptide transport ABC system ATP-binding protein
1352636..1353628	-	330	1787548	sapD	b1291	-	-	antimicrobial peptide transport ABC system ATP-binding protein
1353628..1354518	-	296	1787549	sapC	b1292	-	-	antimicrobial peptide transport ABC transporter permease
1354505..1355470	-	321	1787550	sapB	b1293	-	-	antimicrobial peptide transport ABC transporter permease
1355467..1357110	-	547	1787551	sapA	b1294	-	-	antimicrobial peptide transport ABC transporter periplasmic binding protein
1357423..1357668	-	81	1787552	ymjA	b1295	-	-	DUF2543 family protein
1357802..1359187	-	461	87081869	puuP	b1296	-	-	putrescine importer
1359490..1360908	-	472	87081870	puuA	b1297	-	-	glutamate--putrescine ligase
1361120..1361884	+	254	87081871	puuD	b1298	-	-	gamma-glutamyl-gamma-aminobutyrate hydrolase
1361911..1362468	+	185	1787557	puuR	b1299	-	-	repressor for the divergent puu operons, putrescine inducible
1362743..1364230	+	495	1787558	puuC	b1300	-	-	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase
1364232..1365512	+	426	1787559	puuB	b1301	-	-	gamma-glutamylputrescine oxidoreductase
1365550..1366815	+	421	1787560	puuE	b1302	-	-	4-aminobutyrate aminotransferase, PLP-dependent
1366935..1367912	-	325	87081872	pspF	b1303	-	-	psp operon transcriptional activator
1368079..1368747	+	222	2367118	pspA	b1304	-	-	regulatory protein for phage-shock-protein operon
1368801..1369025	+	74	1787563	pspB	b1305	-	-	psp operon transcription co-activator
1369025..1369384	+	119	1787564	pspC	b1306	-	-	psp operon transcription co-activator
1369393..1369614	+	73	1787565	pspD	b1307	-	-	peripheral inner membrane phage-shock protein
1369689..1370003	+	104	1787567	pspE	b1308	-	-	thiosulfate:cyanide sulfurtransferase (rhodanese)
1370216..1371895	+	559	87081873	ycjM	b1309	-	-	alpha amylase catalytic domain family protein
1371909..1373201	+	430	1787569	ycjN	b1310	-	-	putative ABC superfamily sugar transporter periplasmic-binding protein
1373222..1374103	+	293	1787570	ycjO	b1311	-	-	inner membrane putative ABC superfamily sugar transporter permease
1374090..1374932	+	280	1787571	ycjP	b1312	-	-	inner membrane putative ABC superfamily sugar transporter permease
1374963..1376015	+	350	1787572	ycjQ	b1313	-	-	putative Zn-dependent NAD(P)-binding oxidoreductase
1376034..1376822	+	262	87081874	ycjR	b1314	-	-	putative TIM alpha/beta barrel enzyme
1376832..1377887	+	351	1787574	ycjS	b1315	-	-	putative NADH-binding oxidoreductase
1377884..1380151	+	755	1787575	ycjT	b1316	-	-	putative family 65 glycosyl hydrolase
1380148..1380807	+	219	1787576	ycjU	b1317	-	-	beta-phosphoglucomutase
1381947..1382852	+	301	1787579	ompG	b1319	-	-	outer membrane porin G
1382963..1383961	-	332	1787580	ycjW	b1320	-	-	LacI family putative transcriptional repressor
1384117..1385514	+	465	1787581	ycjX	b1321	-	-	DUF463 family protein, putative P-loop NTPase
1385511..1386572	+	353	1787582	ycjF	b1322	-	-	UPF0283 family inner membrane protein
1386720..1388261	+	513	1787583	tyrR	b1323	-	-	aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase
1388305..1388811	-	168	1787584	tpx	b1324	-	-	lipid hydroperoxide peroxidase
1388930..1389895	+	321	87081876	ycjG	b1325	-	-	L-Ala-D/L-Glu epimerase
1389870..1390598	-	242	226510938	mpaA	b1326	-	-	murein peptide amidase A
1390933..1391853	-	306	221142683	ycjY	b1327	-	-	S9 homolog non-peptidase family protein
1391991..1392890	+	299	1787589	pgrR	b1328	-	-	murein peptide degradation regulator
1393227..1394840	+	537	87081878	mppA	b1329	-	-	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit
1394891..1395922	-	343	1787591	ynaI	b1330	-	-	mechanosensitive channel protein, very small conductance
1396076..1397092	+	338	1787592	insH1	b1331	-	-	IS5 transposase and trans-activator
1397365..1397622	+	85	1787593	ynaJ	b1332	-	-	DUF2534 family putative inner membrane protein
1397672..1398622	-	316	1787594	uspE	b1333	-	-	stress-induced protein
1398774..1399526	-	250	1787595	fnr	b1334	-	-	oxygen-sensing anaerobic growth regulon transcriptional regulator; autorepressor
1399721..1400236	-	171	1787596	ogt	b1335	-	-	O-6-alkylguanine-DNA:cysteine-protein methyltransferase
1400247..1401773	-	508	87081879	abgT	b1336	-	-	p-aminobenzoyl-glutamate transporter; membrane protein
1401810..1403255	-	481	1787598	abgB	b1337	-	-	p-aminobenzoyl-glutamate hydrolase, B subunit
1403255..1404565	-	436	87081880	abgA	b1338	-	-	p-aminobenzoyl-glutamate hydrolase, A subunit
1404741..1405649	+	302	1787601	abgR	b1339	-	-	putative DNA-binding transcriptional regulator of abgABT operon
1405979..1406542	+	187	1787602	smrA	b1340	-	-	DNA endonuclease
1406563..1407795	-	410	87081881	ydaM	b1341	-	-	diguanylate cyclase, csgD regulator
1408050..1409033	+	327	1787604	ydaN	b1342	-	-	putative Zn(II) transporter
1409511..1410884	+	457	1787605	dbpA	b1343	-	-	ATP-dependent RNA helicase, specific for 23S rRNA
1411013..1411948	-	311	1787606	ttcA	b1344	-	-	tRNA 2-thiocytidine biosynthesis protein
1412000..1413235	-	411	1787607	intR	b1345	-	-	Rac prophage; integrase
1413237..1413452	-	71	87081882	ydaQ	b1346	-	-	Rac prophage; conserved protein
1413531..1413740	-	69	1787609	rcbA	b1347	-	-	double-strand break reduction protein, Rac prophage
1413733..1413927	-	64	1787610	ralR	b1348	-	-	Rac prophage; restriction alleviation protein
1413984..1414793	-	269	1787611	recT	b1349	-	-	Rac prophage; recombination and repair protein
1414786..1417386	-	866	1787612	recE	b1350	-	-	Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease
1417488..1417763	-	91	1787614	racC	b1351	-	-	Rac prophage; uncharacterized protein
1417838..1418008	-	56	87081883	ydaE	b4526	-	-	Rac prophage; conserved protein
1418008..1418229	-	73	87081884	kilR	b1352	-	-	Rac prophage; inhibitor of ftsZ, killing protein
1418671..1419159	+	162	87081885	sieB	b1353	-	-	Rac prophage; phage superinfection exclusion protein
1419156..1419311	-	51	87081886	ydaF	b4527	-	-	Rac prophage; uncharacterized protein
1419322..1419456	-	44	87081887	ydaG	b1355	-	-	Rac prophage; uncharacterized protein
1419765..1420241	-	158	1787619	racR	b1356	-	-	Rac prophage; putative DNA-binding transcriptional regulator
1420365..1420661	+	98	1787620	ydaS	b1357	-	-	Rac prophage; putative DNA-binding transcriptional regulator
1420684..1421106	+	140	1787621	ydaT	b1358	-	-	Rac prophage; uncharacterized protein
1421119..1421976	+	285	1787622	ydaU	b1359	-	-	Rac prophage; conserved protein
1421983..1422729	+	248	1787623	ydaV	b1360	-	-	Rac prophage; putative DNA replication protein
1423400..1423585	+	61	87081890	rzoR	b4528	-	-	Rac prophage; putative lipoprotein
1423782..1425239	+	485	1787626	trkG	b1363	-	-	Rac prophage; potassium transporter subunit
1425377..1425640	+	87	1787628	ynaK	b1365	-	-	Rac prophage; conserved protein
1429049..1432411	+	1120	87081892	stfR	b1372	-	-	Rac prophage; putative tail fiber protein
1432411..1432986	+	191	1787637	tfaR	b1373	-	-	Rac prophage; putative tail fiber assembly protein
1433084..1433674	-	196	1787638	pinR	b1374	-	-	Rac prophage; putative site-specific recombinase
1433991..1434224	-	77	345297173	ynaE	b1375	-	-	cold shock protein, Rac prophage
1435185..1435619	-	144	87081893	uspF	b1376	-	-	stress-induced protein, ATP-binding protein
1435760..1436893	-	377	1787641	ompN	b1377	-	-	outer membrane pore protein N, non-specific
1437260..1440784	-	1174	1787642	pfo	b1378	-	-	pyruvate-flavodoxin oxidoreductase
1441058..1441324	+	88	87081894	ydbJ	b4529	-	-	DUF333 family putative lipoprotein
1441321..1441743	-	140	1787644	hslJ	b1379	-	-	heat-inducible lipoprotein involved in novobiocin resistance
1441854..1442843	-	329	1787645	ldhA	b1380	-	-	fermentative D-lactate dehydrogenase, NAD-dependent
1443051..1445690	+	879	1787646	ydbH	b1381	-	-	putative membrane-anchored protein, function unknown
1445687..1445872	+	61	1787647	ynbE	b1382	-	-	lipoprotein
1445880..1446206	+	108	87081895	ydbL	b1383	-	-	DUF1318 family protein
1446378..1447283	-	301	1787649	feaR	b1384	-	-	transcriptional activator for tynA and feaB
1447519..1449018	+	499	87081896	feaB	b1385	-	-	phenylacetaldehyde dehydrogenase
1449076..1451349	-	757	1787651	tynA	b1386	-	-	tyramine oxidase, copper-requiring
1451597..1453642	-	681	1787653	paaZ	b1387	-	-	fused oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase
1453927..1454856	+	309	1787654	paaA	b1388	-	-	ring 1,2-phenylacetyl-CoA epoxidase subunit
1454868..1455155	+	95	1787655	paaB	b1389	-	-	putative ring 1,2-phenylacetyl-CoA epoxidase subunit
1455164..1455910	+	248	1787656	paaC	b1390	-	-	ring 1,2-phenylacetyl-CoA epoxidase subunit
1455925..1456422	+	165	226510939	paaD	b1391	-	-	ring 1,2-phenylacetyl-CoA epoxidase subunit
1456430..1457500	+	356	1787658	paaE	b1392	-	-	ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component
1457497..1458264	+	255	1787659	paaF	b1393	-	-	2,3-dehydroadipyl-CoA hydratase
1458264..1459052	+	262	1787660	paaG	b1394	-	-	1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming
1459054..1460481	+	475	1787661	paaH	b1395	-	-	3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent
1460471..1460893	+	140	1787662	paaI	b1396	-	-	hydroxyphenylacetyl-CoA thioesterase
1460893..1462098	+	401	1787663	paaJ	b1397	-	-	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
1462125..1463438	+	437	1787664	paaK	b1398	-	-	phenylacetyl-CoA ligase
1463539..1464489	+	316	1787666	paaX	b1399	-	-	transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer
1464471..1465061	+	196	1787667	paaY	b1400	-	-	putative hexapeptide repeat acetyltransferase
1465165..1465230	-	21	226510940	ynbG	b4674	-	-	uncharacterized protein
1467921..1468826	-	301	1787669	insD1	b1402	-	-	IS2 transposase TnpB
1468784..1469149	-	121	145693126	insC1	b1403	-	-	IS2 repressor TnpA
1469358..1470509	+	383	1787671	insI1	b1404	-	-	IS30 transposase
1474221..1475081	+	286	1787674	ydbC	b1406	-	-	putative NAD(P)-binding oxidoreductase
1475144..1477450	+	768	87081900	ydbD	b1407	-	-	PF10971 family putative periplasmic methylglyoxal resistance protein
1477621..1478226	+	201	87081901	ynbA	b1408	-	-	inner membrane protein
1478226..1479122	+	298	1787677	ynbB	b1409	-	-	putative CDP-diglyceride synthase
1479138..1480895	+	585	1787678	ynbC	b1410	-	-	putative esterase
1480909..1482201	+	430	1787679	ynbD	b1411	-	-	putative phosphatase inner membrane protein
1482255..1482860	-	201	1787680	azoR	b1412	-	-	NADH-azoreductase, FMN-dependent
1483061..1486963	+	1300	145693127	hrpA	b1413	-	-	putative ATP-dependent helicase
1487235..1488035	+	266	1787683	ydcF	b1414	-	-	DUF218 superfamily protein, SAM-binding
1488232..1489671	+	479	1787684	aldA	b1415	-	-	aldehyde dehydrogenase A, NAD-linked
1490902..1491432	+	176	87081903	cybB	b1418	-	-	cytochrome b561
1491677..1491850	+	57	1787688	ydcA	b1419	-	-	putative periplasmic protein
1491922..1492071	-	49	48994884	hokB	b4428	-	-	toxic polypeptide, small
1491962..1492129	-	55	1787689	mokB	b1420	-	-	regulatory peptide
1492470..1494110	+	546	1787690	trg	b1421	-	-	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor
1494148..1495071	-	307	87081904	ydcI	b1422	-	-	putative DNA-binding transcriptional regulator
